Device Address,Exercise,Timestamp,Thumb,Ring,Middle,Index,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,13241,565,234,0,312,-879,-1072,-865,32763,-24052,-32768
D4:72:11:8B:5A:4D,Flex + IMU,13249,565,234,0,313,-775,-1170,-825,32763,-22777,-32578
D4:72:11:8B:5A:4D,Flex + IMU,13289,565,234,0,314,-553,-1001,-666,16331,-25464,-21759
D4:72:11:8B:5A:4D,Flex + IMU,13297,565,234,0,314,-452,-902,-577,16331,-25464,-18892
D4:72:11:8B:5A:4D,Flex + IMU,13337,566,235,0,316,-294,4,-927,7131,-19052,-5769
D4:72:11:8B:5A:4D,Flex + IMU,13345,566,235,0,316,-275,70,-1162,9064,-16444,-3188
D4:72:11:8B:5A:4D,Flex + IMU,13433,566,237,0,322,-314,-256,-883,-7077,566,1506
D4:72:11:8B:5A:4D,Flex + IMU,13441,566,237,0,322,-232,-167,-1049,-6941,426,2325
D4:72:11:8B:5A:4D,Flex + IMU,13481,566,238,0,326,-605,-226,-1144,3288,1386,5586
D4:72:11:8B:5A:4D,Flex + IMU,13489,567,238,0,327,-649,-299,-1105,4455,3284,4958
D4:72:11:8B:5A:4D,Flex + IMU,13529,567,238,0,331,-311,-438,-1305,1027,2281,3971
D4:72:11:8B:5A:4D,Flex + IMU,13537,567,238,0,332,-504,-332,-1222,1099,683,3597
D4:72:11:8B:5A:4D,Flex + IMU,13577,567,239,0,334,-526,-461,-962,-1547,-2100,3078
D4:72:11:8B:5A:4D,Flex + IMU,13585,567,239,0,335,-545,-438,-1001,-1424,-2533,3012
D4:72:11:8B:5A:4D,Flex + IMU,13625,567,240,0,336,-560,-445,-1261,2500,-1803,1741
D4:72:11:8B:5A:4D,Flex + IMU,13633,568,240,0,336,-542,-519,-1260,2922,-1065,1769
D4:72:11:8B:5A:4D,Flex + IMU,13673,568,240,0,337,-479,-524,-1099,1172,1054,2416
D4:72:11:8B:5A:4D,Flex + IMU,13681,568,240,0,337,-475,-507,-1106,1596,1131,2251
D4:72:11:8B:5A:4D,Flex + IMU,13721,568,240,0,337,-537,-683,-1267,1297,66,-72
D4:72:11:8B:5A:4D,Flex + IMU,13777,568,240,0,338,-389,-483,-987,-1675,2881,39
D4:72:11:8B:5A:4D,Flex + IMU,13825,568,241,0,338,-516,-476,-1033,-284,-455,-1541
D4:72:11:8B:5A:4D,Flex + IMU,13833,568,241,0,338,-498,-478,-999,23,-424,-1541
D4:72:11:8B:5A:4D,Flex + IMU,13873,569,241,0,339,-540,-549,-1039,-568,454,-722
D4:72:11:8B:5A:4D,Flex + IMU,13881,569,241,0,339,-559,-536,-1039,-1745,512,-537
D4:72:11:8B:5A:4D,Flex + IMU,13921,569,241,0,339,-562,-469,-1098,-1897,264,-534
D4:72:11:8B:5A:4D,Flex + IMU,13929,569,241,0,339,-557,-554,-1098,-1897,12,-815
D4:72:11:8B:5A:4D,Flex + IMU,13969,568,241,0,339,-481,-1045,-958,-18647,-116,-123
D4:72:11:8B:5A:4D,Flex + IMU,13977,568,241,0,339,-477,-1237,-893,-26887,-389,578
D4:72:11:8B:5A:4D,Flex + IMU,14017,567,241,0,336,-348,-3134,-1406,-32768,-4347,3165
D4:72:11:8B:5A:4D,Flex + IMU,14025,567,241,0,336,-348,-3317,-1481,-32768,-8311,5184
D4:72:11:8B:5A:4D,Flex + IMU,14065,567,241,0,335,-966,-1808,-1518,-32768,-10861,1587
D4:72:11:8B:5A:4D,Flex + IMU,14073,568,242,0,336,-1032,-1973,-1253,-32768,-8405,-3546
D4:72:11:8B:5A:4D,Flex + IMU,14113,570,245,0,340,-354,-809,-804,-32768,6314,-6116
D4:72:11:8B:5A:4D,Flex + IMU,14121,570,246,0,340,-556,-194,-191,-32768,8941,-3635
D4:72:11:8B:5A:4D,Flex + IMU,14161,572,247,0,342,-227,-266,562,-32768,16745,261
