DeviceAddress,Exercise,Timestamp,Thumb,Index,Middle,Ring,Acc_x_,Acc_y_,Acc_z_,Gyr_x_,Gyr_y_,Gyr_z_
D4:72:11:8B:5A:4D,Flex + IMU,24144,590,366,0,468,488,-1910,-2031,32763,26595,-12263
D4:72:11:8B:5A:4D,Flex + IMU,24152,590,364,0,468,362,-3103,-955,32763,6310,-9469
D4:72:11:8B:5A:4D,Flex + IMU,24336,587,364,0,463,-29,-4308,-1475,-32768,-32768,3281
D4:72:11:8B:5A:4D,Flex + IMU,24344,585,364,0,462,-508,-3769,-1385,-32768,-32625,-780
D4:72:11:8B:5A:4D,Flex + IMU,24392,577,368,0,458,-870,2992,-428,-32768,-15636,-6120
D4:72:11:8B:5A:4D,Flex + IMU,24400,576,368,0,459,-710,2911,477,-32768,-10597,-8109
D4:72:11:8B:5A:4D,Flex + IMU,24440,579,371,0,463,-380,675,751,13773,-6467,3974
D4:72:11:8B:5A:4D,Flex + IMU,24448,579,372,0,463,-576,-174,1336,17373,-7912,2303
D4:72:11:8B:5A:4D,Flex + IMU,24488,581,374,0,465,0,1026,460,-23415,-732,-6086
D4:72:11:8B:5A:4D,Flex + IMU,24632,581,375,0,464,150,2011,959,10492,-19981,-4799
D4:72:11:8B:5A:4D,Flex + IMU,24880,592,376,0,470,-6,-1294,-11,6475,7862,-4539
D4:72:11:8B:5A:4D,Flex + IMU,24888,592,376,0,470,-143,-740,-633,-8985,2887,-3217
D4:72:11:8B:5A:4D,Flex + IMU,24920,592,377,0,470,-200,-807,-865,8254,-9478,-1615
D4:72:11:8B:5A:4D,Flex + IMU,25072,591,376,0,468,701,-4547,-578,-32768,-31090,1542
D4:72:11:8B:5A:4D,Flex + IMU,25168,573,376,0,463,-109,1252,-1228,-32768,7513,-4526
D4:72:11:8B:5A:4D,Flex + IMU,25360,584,380,0,467,-115,1251,956,11309,-5,-3104
D4:72:11:8B:5A:4D,Flex + IMU,25368,584,380,0,467,-177,1251,956,16825,-567,-3545
D4:72:11:8B:5A:4D,Flex + IMU,25408,587,376,0,465,-751,2031,-911,32763,-1854,-5877
D4:72:11:8B:5A:4D,Flex + IMU,25416,587,374,0,465,-720,1149,-1255,32763,3706,-5257
D4:72:11:8B:5A:4D,Flex + IMU,25456,588,371,0,467,355,-749,-4293,32763,32761,11648
D4:72:11:8B:5A:4D,Flex + IMU,25560,590,374,0,470,2776,1377,-3814,27021,32763,-5720
D4:72:11:8B:5A:4D,Flex + IMU,25608,592,376,0,470,-834,-847,1551,10322,10541,8234
D4:72:11:8B:5A:4D,Flex + IMU,25656,592,377,0,471,2,-914,-710,3670,-11698,1323
D4:72:11:8B:5A:4D,Flex + IMU,25704,592,376,0,471,575,-2701,-860,-21071,-12553,5067
D4:72:11:8B:5A:4D,Flex + IMU,25752,591,375,0,470,-1065,-2686,-1028,-32768,-17451,2660
D4:72:11:8B:5A:4D,Flex + IMU,25896,567,378,0,468,-193,1146,722,-2608,6205,7847
D4:72:11:8B:5A:4D,Flex + IMU,25904,567,378,0,468,-196,821,994,-2608,6205,7847
D4:72:11:8B:5A:4D,Flex + IMU,25944,566,378,0,468,160,905,859,-13344,-578,-4795
D4:72:11:8B:5A:4D,Flex + IMU,26192,583,349,0,470,-649,-4329,963,-12878,18790,2473
D4:72:11:8B:5A:4D,Flex + IMU,26200,584,351,0,471,-691,-1222,-2141,-32768,32763,21072
D4:72:11:8B:5A:4D,Flex + IMU,26240,588,359,0,470,1509,-205,-2016,32392,29893,-11508
D4:72:11:8B:5A:4D,Flex + IMU,26384,590,364,0,468,257,-2719,-644,-32768,-19254,4407
D4:72:11:8B:5A:4D,Flex + IMU,26392,590,364,0,468,368,-3056,-952,-32768,-16574,2156
D4:72:11:8B:5A:4D,Flex + IMU,26432,583,364,0,462,18,-2210,-1448,-32768,-19954,-7123
D4:72:11:8B:5A:4D,Flex + IMU,26728,575,370,0,462,-28,1421,535,-2792,-536,-1540
D4:72:11:8B:5A:4D,Flex + IMU,26776,582,370,0,462,-520,2962,-1019,32763,-733,-1552
D4:72:11:8B:5A:4D,Flex + IMU,26784,583,370,0,463,-428,2046,-1430,32763,4324,2788
D4:72:11:8B:5A:4D,Flex + IMU,27024,591,376,0,469,83,-1062,-416,17085,-1936,3514
D4:72:11:8B:5A:4D,Flex + IMU,27032,591,377,0,469,-105,-1368,169,18541,-7459,4664
D4:72:11:8B:5A:4D,Flex + IMU,27360,586,378,0,467,44,605,1407,9247,457,-136
D4:72:11:8B:5A:4D,Flex + IMU,27512,588,376,0,468,-879,-2028,-3111,32763,25962,5302
D4:72:11:8B:5A:4D,Flex + IMU,27560,589,365,0,469,664,-2397,12,2509,21771,-4027
D4:72:11:8B:5A:4D,Flex + IMU,27568,590,366,0,469,-296,-502,-1075,-27045,22827,5113
D4:72:11:8B:5A:4D,Flex + IMU,27608,592,369,0,469,245,538,-1244,15513,4079,-5204
D4:72:11:8B:5A:4D,Flex + IMU,27616,592,369,0,469,-30,-130,-180,24422,-11062,-5436
D4:72:11:8B:5A:4D,Flex + IMU,27656,592,370,0,469,-88,-275,-675,-7672,-1993,-47
D4:72:11:8B:5A:4D,Flex + IMU,27664,592,371,0,470,167,-464,-1056,-7234,-3075,-89
D4:72:11:8B:5A:4D,Flex + IMU,27704,592,372,0,470,-116,-996,-772,-631,-13889,6639
D4:72:11:8B:5A:4D,Flex + IMU,27712,592,372,0,470,-128,-1101,-917,-2594,-11724,8018
D4:72:11:8B:5A:4D,Flex + IMU,27752,592,374,0,470,64,-2921,-1140,-26279,-11181,10989
D4:72:11:8B:5A:4D,Flex + IMU,27760,592,375,0,470,216,-3528,-970,-32529,-15254,10462
D4:72:11:8B:5A:4D,Flex + IMU,27800,591,376,0,469,-151,-3253,-1816,-32768,-14087,1533
D4:72:11:8B:5A:4D,Flex + IMU,27848,579,376,0,467,551,-944,-1118,-32768,-22033,-17345
D4:72:11:8B:5A:4D,Flex + IMU,27896,575,377,0,468,-559,506,1159,-32768,-11263,-15720
D4:72:11:8B:5A:4D,Flex + IMU,27904,575,377,0,468,-559,506,1159,-32748,-5104,-10831
D4:72:11:8B:5A:4D,Flex + IMU,28048,577,380,0,467,114,103,1186,10743,4065,1940
D4:72:11:8B:5A:4D,Flex + IMU,28192,582,369,0,466,370,-481,-3574,32763,32757,32763
D4:72:11:8B:5A:4D,Flex + IMU,28240,583,370,0,469,457,-10188,-4456,32763,7933,-32634
D4:72:11:8B:5A:4D,Flex + IMU,28248,584,370,0,469,2610,-11466,-1619,31345,-28517,-30250
D4:72:11:8B:5A:4D,Flex + IMU,28288,589,375,0,469,-543,3519,-4789,-7598,32763,10256
D4:72:11:8B:5A:4D,Flex + IMU,28336,591,373,0,467,147,-1983,403,32217,6964,-4657
D4:72:11:8B:5A:4D,Flex + IMU,28528,574,375,0,462,-104,-258,-632,-32768,-19236,-18842
D4:72:11:8B:5A:4D,Flex + IMU,28536,572,375,0,462,-104,-258,-632,-32768,-20381,-23381
D4:72:11:8B:5A:4D,Flex + IMU,28728,567,375,0,462,-45,1161,691,10221,4476,-3138
D4:72:11:8B:5A:4D,Flex + IMU,28824,580,375,0,465,1197,-1374,-1674,32763,23903,32763
D4:72:11:8B:5A:4D,Flex + IMU,28872,581,377,0,467,490,-1811,-1133,32763,9983,17379
D4:72:11:8B:5A:4D,Flex + IMU,29264,581,363,0,450,-249,-236,1500,-32612,-14390,-1818
