Device Address,Exercise,Timestamp,Thumb,Ring,Middle,Index,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,1784,575,182,0,340,-1254,32,612,761,5451,1198
D4:72:11:8B:5A:4D,Flex + IMU,1792,575,182,0,340,-1227,9,643,604,5171,814
D4:72:11:8B:5A:4D,Flex + IMU,1832,575,183,0,341,-1167,-63,764,-910,3131,-438
D4:72:11:8B:5A:4D,Flex + IMU,1840,575,183,0,341,-1167,-75,790,-910,3131,-438
D4:72:11:8B:5A:4D,Flex + IMU,1880,575,183,0,342,-1159,-11,805,-483,1456,-871
D4:72:11:8B:5A:4D,Flex + IMU,1888,575,183,0,342,-1156,-6,806,-272,1102,-974
D4:72:11:8B:5A:4D,Flex + IMU,1928,575,183,0,342,-1119,-42,832,-552,-292,-1197
D4:72:11:8B:5A:4D,Flex + IMU,1936,575,183,0,342,-1119,-42,832,-992,-576,-1180
D4:72:11:8B:5A:4D,Flex + IMU,1976,575,183,0,342,-1113,-47,862,-2537,-1467,-1133
D4:72:11:8B:5A:4D,Flex + IMU,1984,575,183,0,342,-1105,-38,859,-2583,-1668,-1190
D4:72:11:8B:5A:4D,Flex + IMU,2024,575,183,0,341,-1191,44,787,-1048,-2381,-842
D4:72:11:8B:5A:4D,Flex + IMU,2032,575,183,0,341,-1217,63,768,-619,-2166,-725
D4:72:11:8B:5A:4D,Flex + IMU,2072,575,183,0,340,-1243,99,668,-68,-401,-232
D4:72:11:8B:5A:4D,Flex + IMU,2080,575,183,0,340,-1250,107,644,-382,60,99
D4:72:11:8B:5A:4D,Flex + IMU,2120,575,182,0,340,-1322,203,564,-3947,2415,3327
D4:72:11:8B:5A:4D,Flex + IMU,2128,575,182,0,340,-1340,261,535,-4848,2987,3772
D4:72:11:8B:5A:4D,Flex + IMU,2176,575,182,0,342,-1246,453,435,-6523,4501,2388
D4:72:11:8B:5A:4D,Flex + IMU,2184,575,182,0,342,-1208,455,449,-5899,4235,2064
D4:72:11:8B:5A:4D,Flex + IMU,2224,576,181,0,343,-1280,158,710,-2501,3305,1003
D4:72:11:8B:5A:4D,Flex + IMU,2232,576,181,0,344,-1323,110,760,-3051,3895,1119
D4:72:11:8B:5A:4D,Flex + IMU,2272,577,181,0,345,-1451,105,802,-6542,8745,1992
D4:72:11:8B:5A:4D,Flex + IMU,2280,578,181,0,346,-1446,209,775,-6958,9642,2088
D4:72:11:8B:5A:4D,Flex + IMU,2320,578,181,0,348,-1160,231,705,-3310,5363,136
D4:72:11:8B:5A:4D,Flex + IMU,2328,578,181,0,348,-1192,191,755,-2363,4081,-208
D4:72:11:8B:5A:4D,Flex + IMU,2368,579,181,0,349,-1391,31,983,-3919,1481,63
D4:72:11:8B:5A:4D,Flex + IMU,2376,579,181,0,349,-1403,92,984,-4940,1887,424
D4:72:11:8B:5A:4D,Flex + IMU,2416,579,177,0,338,-1126,357,877,-1536,-5464,476
D4:72:11:8B:5A:4D,Flex + IMU,2424,578,176,0,329,-1073,321,913,-408,-10430,625
D4:72:11:8B:5A:4D,Flex + IMU,2464,576,167,0,284,-1157,133,789,1343,-17235,-1349
D4:72:11:8B:5A:4D,Flex + IMU,2472,576,166,0,279,-1219,10,816,1343,-17235,-3406
D4:72:11:8B:5A:4D,Flex + IMU,2512,576,163,0,271,-1610,-23,1034,-5917,2382,-1437
D4:72:11:8B:5A:4D,Flex + IMU,2520,576,163,0,271,-1511,-69,1031,-6799,6874,-1733
D4:72:11:8B:5A:4D,Flex + IMU,2560,576,163,0,276,-705,530,824,-8605,7604,-4044
D4:72:11:8B:5A:4D,Flex + IMU,2568,576,163,0,275,-705,530,824,-7856,2438,-6038
D4:72:11:8B:5A:4D,Flex + IMU,2608,575,161,0,275,-948,363,1191,-7014,-1315,-4521
D4:72:11:8B:5A:4D,Flex + IMU,2616,575,161,0,277,-1197,348,1315,-6201,1690,-4034
D4:72:11:8B:5A:4D,Flex + IMU,2664,577,165,0,298,-818,304,1018,-12161,25033,2266
D4:72:11:8B:5A:4D,Flex + IMU,2672,578,166,0,303,-818,304,948,-12597,27249,4160
D4:72:11:8B:5A:4D,Flex + IMU,2712,578,167,0,320,-935,1377,913,-5905,13915,8029
D4:72:11:8B:5A:4D,Flex + IMU,2720,578,166,0,317,-775,1220,873,-3907,7675,5962
D4:72:11:8B:5A:4D,Flex + IMU,2760,572,155,0,261,-280,269,820,4376,-2621,5509
D4:72:11:8B:5A:4D,Flex + IMU,2768,570,154,0,250,34,70,749,2282,-3520,3955
D4:72:11:8B:5A:4D,Flex + IMU,2808,571,146,0,225,-474,426,823,-5442,-9509,5436
D4:72:11:8B:5A:4D,Flex + IMU,2816,571,144,0,223,-844,714,870,-4692,-11486,6440
D4:72:11:8B:5A:4D,Flex + IMU,2856,571,137,0,220,-959,637,687,-1524,-5970,4055
