Device Address,Exercise,Timestamp,Thumb,Ring,Middle,Index,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,27512,570,265,0,376,196,383,1315,742,235,-71
D4:72:11:8B:5A:4D,Flex + IMU,27520,570,265,0,376,203,397,1296,421,302,-44
D4:72:11:8B:5A:4D,Flex + IMU,27560,570,265,0,376,198,434,1255,604,300,93
D4:72:11:8B:5A:4D,Flex + IMU,27568,570,265,0,376,194,432,1275,809,328,60
D4:72:11:8B:5A:4D,Flex + IMU,27656,570,265,0,376,187,369,1310,981,278,-1
D4:72:11:8B:5A:4D,Flex + IMU,27664,570,265,0,376,194,370,1314,711,398,28
D4:72:11:8B:5A:4D,Flex + IMU,27704,570,265,0,376,223,429,1271,224,416,188
D4:72:11:8B:5A:4D,Flex + IMU,27712,570,265,0,376,217,427,1273,224,416,188
D4:72:11:8B:5A:4D,Flex + IMU,27752,570,265,0,376,203,386,1287,1376,71,-172
D4:72:11:8B:5A:4D,Flex + IMU,27760,570,265,0,376,201,360,1302,1379,25,-221
D4:72:11:8B:5A:4D,Flex + IMU,27800,570,265,0,376,199,360,1287,343,484,-49
D4:72:11:8B:5A:4D,Flex + IMU,27808,570,265,0,376,199,360,1287,130,530,-60
D4:72:11:8B:5A:4D,Flex + IMU,27944,570,265,0,376,215,544,1194,-110,-204,-388
D4:72:11:8B:5A:4D,Flex + IMU,27952,570,265,0,376,210,583,1180,1093,-571,-623
D4:72:11:8B:5A:4D,Flex + IMU,27992,571,265,0,375,237,1127,819,22127,-5904,-3197
D4:72:11:8B:5A:4D,Flex + IMU,28000,570,265,0,375,229,1251,689,30151,-8022,-4190
D4:72:11:8B:5A:4D,Flex + IMU,28048,570,265,0,375,-130,730,-756,32763,-21298,-13887
D4:72:11:8B:5A:4D,Flex + IMU,28056,569,265,0,377,-284,172,-823,32763,-24098,-16782
D4:72:11:8B:5A:4D,Flex + IMU,28096,566,266,0,381,-1042,-2681,-2049,32763,-32005,-30410
D4:72:11:8B:5A:4D,Flex + IMU,28104,566,266,0,382,-1142,-3419,-1931,32763,-32767,-30859
D4:72:11:8B:5A:4D,Flex + IMU,28144,566,267,0,383,-1534,-2498,1672,32762,-11960,-1282
D4:72:11:8B:5A:4D,Flex + IMU,28152,566,267,0,384,-1082,-1570,1389,29730,4039,862
D4:72:11:8B:5A:4D,Flex + IMU,28192,565,267,0,385,-414,-1311,-722,25616,-2424,-6435
D4:72:11:8B:5A:4D,Flex + IMU,28240,565,266,0,386,-590,-1299,-517,19433,-6198,-5469
D4:72:11:8B:5A:4D,Flex + IMU,28248,565,266,0,386,-627,-1300,-452,18532,-5572,-5497
D4:72:11:8B:5A:4D,Flex + IMU,28288,566,267,0,387,-560,-1034,-758,10735,588,-1389
D4:72:11:8B:5A:4D,Flex + IMU,28296,566,266,0,387,-505,-983,-813,9799,252,-1619
D4:72:11:8B:5A:4D,Flex + IMU,28336,566,266,0,388,-566,-1027,-690,7439,-1886,-1143
D4:72:11:8B:5A:4D,Flex + IMU,28344,566,267,0,388,-607,-1033,-668,7439,-1886,-903
D4:72:11:8B:5A:4D,Flex + IMU,28384,566,267,0,389,-675,-1410,-596,781,273,-50
D4:72:11:8B:5A:4D,Flex + IMU,28392,566,267,0,389,-698,-1430,-570,-2993,618,448
D4:72:11:8B:5A:4D,Flex + IMU,28432,566,267,0,390,-873,-2509,-158,-30284,6491,6316
D4:72:11:8B:5A:4D,Flex + IMU,28440,566,267,0,391,-873,-2509,-158,-32757,9563,9943
D4:72:11:8B:5A:4D,Flex + IMU,28480,565,268,0,393,-1701,-4581,-920,-32768,30560,29476
D4:72:11:8B:5A:4D,Flex + IMU,28488,565,268,0,392,-1949,-4580,-1445,-32768,32745,32444
D4:72:11:8B:5A:4D,Flex + IMU,28528,569,271,0,391,-1982,-1223,-4171,-32768,32763,32763
D4:72:11:8B:5A:4D,Flex + IMU,28536,569,272,0,390,-1666,559,-4800,-32768,32763,32763
D4:72:11:8B:5A:4D,Flex + IMU,28584,571,274,0,384,-1691,3314,60,-20171,-3908,12761
D4:72:11:8B:5A:4D,Flex + IMU,28592,570,274,0,384,633,1873,188,5063,16490,3216
D4:72:11:8B:5A:4D,Flex + IMU,28632,570,274,0,384,315,1249,559,-2617,-754,-8162
D4:72:11:8B:5A:4D,Flex + IMU,28640,570,274,0,385,229,1009,601,7888,-1172,-9926
D4:72:11:8B:5A:4D,Flex + IMU,28680,570,274,0,385,387,-130,1485,19737,-1928,-4493
D4:72:11:8B:5A:4D,Flex + IMU,28688,570,273,0,385,392,-119,1553,12238,-1745,-4153
D4:72:11:8B:5A:4D,Flex + IMU,28728,570,273,0,384,436,729,1152,3517,-3459,-3709
D4:72:11:8B:5A:4D,Flex + IMU,28736,570,273,0,384,397,537,1245,6720,-4090,-3571
D4:72:11:8B:5A:4D,Flex + IMU,28776,570,272,0,383,337,445,1279,4917,-4440,-1972
D4:72:11:8B:5A:4D,Flex + IMU,28784,570,272,0,383,345,504,1240,5452,-4687,-1946
D4:72:11:8B:5A:4D,Flex + IMU,28824,570,271,0,381,265,754,841,15296,-8342,-4226
D4:72:11:8B:5A:4D,Flex + IMU,28832,570,271,0,380,249,884,703,18768,-9600,-4725
D4:72:11:8B:5A:4D,Flex + IMU,28872,571,270,0,375,54,1170,173,32763,-18335,-10872
D4:72:11:8B:5A:4D,Flex + IMU,28880,571,269,0,374,-28,939,-16,32763,-18335,-10872
D4:72:11:8B:5A:4D,Flex + IMU,28920,570,269,0,375,-599,-772,-880,32763,-27613,-28027
D4:72:11:8B:5A:4D,Flex + IMU,28928,570,269,0,375,-838,-1177,-1344,32763,-26826,-31665
D4:72:11:8B:5A:4D,Flex + IMU,28968,566,267,0,370,-1128,-3043,-2046,32763,-32768,-32768
D4:72:11:8B:5A:4D,Flex + IMU,28976,565,266,0,368,-1039,-3914,-2046,32763,-32768,-30780
D4:72:11:8B:5A:4D,Flex + IMU,29016,565,266,0,370,-968,-1112,-389,9627,-5785,4229
D4:72:11:8B:5A:4D,Flex + IMU,29024,565,267,0,371,-1261,-816,-1678,3627,-278,6013
D4:72:11:8B:5A:4D,Flex + IMU,29120,565,264,0,375,-640,-839,-734,11928,-2749,-1111
D4:72:11:8B:5A:4D,Flex + IMU,29128,565,265,0,375,-692,-932,-676,12257,-2042,-542
D4:72:11:8B:5A:4D,Flex + IMU,29168,566,265,0,378,-625,-865,-684,2475,3041,465
D4:72:11:8B:5A:4D,Flex + IMU,29176,566,265,0,378,-625,-782,-776,1641,3097,784
D4:72:11:8B:5A:4D,Flex + IMU,29216,566,265,0,379,-553,-912,-641,3354,-423,683
D4:72:11:8B:5A:4D,Flex + IMU,29224,566,265,0,379,-616,-955,-662,2258,-661,882
D4:72:11:8B:5A:4D,Flex + IMU,29264,566,266,0,381,-889,-1484,-567,-7975,4437,2129
D4:72:11:8B:5A:4D,Flex + IMU,29272,566,266,0,382,-935,-1764,-413,-13752,6824,2786
D4:72:11:8B:5A:4D,Flex + IMU,29312,567,266,0,385,-1081,-2888,-376,-32768,19571,15081
D4:72:11:8B:5A:4D,Flex + IMU,29320,566,266,0,385,-1128,-3080,-649,-32768,23884,19927
D4:72:11:8B:5A:4D,Flex + IMU,29360,567,267,0,385,-1942,-3782,-1337,-32768,32763,32763
D4:72:11:8B:5A:4D,Flex + IMU,29368,567,267,0,384,-2038,-3767,-1518,-32768,32763,32763
D4:72:11:8B:5A:4D,Flex + IMU,29408,571,272,0,385,-1753,-772,-4658,-32768,32763,32763
D4:72:11:8B:5A:4D,Flex + IMU,29416,572,272,0,385,-1254,1527,-5764,-32768,32763,32763
D4:72:11:8B:5A:4D,Flex + IMU,29456,573,273,0,380,-1005,2790,-320,14642,16371,1251
D4:72:11:8B:5A:4D,Flex + IMU,29464,573,273,0,380,1712,940,919,28601,5508,-10017
D4:72:11:8B:5A:4D,Flex + IMU,29504,572,273,0,381,365,677,1271,-8114,-5112,-3698
D4:72:11:8B:5A:4D,Flex + IMU,29512,572,273,0,381,125,1117,951,-8114,-5112,-3698
