Device Address,Exercise,Timestamp,Thumb,Ring,Middle,Index,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
D4:72:11:8B:5A:4D,Flex + IMU,10416,568,204,0,258,-710,-1009,-479,19161,779,6393
D4:72:11:8B:5A:4D,Flex + IMU,10424,568,205,0,257,-626,-1002,-548,16408,329,4742
D4:72:11:8B:5A:4D,Flex + IMU,10512,574,210,0,262,-290,-1435,-1230,27606,-2231,-5351
D4:72:11:8B:5A:4D,Flex + IMU,10520,575,211,0,264,-470,-1527,-1099,29695,-4589,-7144
D4:72:11:8B:5A:4D,Flex + IMU,10560,575,215,0,273,-646,-1049,-1244,1126,-7142,-16945
D4:72:11:8B:5A:4D,Flex + IMU,10568,576,215,0,275,-668,-858,-1319,-3955,-5444,-17810
D4:72:11:8B:5A:4D,Flex + IMU,10616,577,216,0,280,-780,-625,-1138,-19727,-6465,-20012
D4:72:11:8B:5A:4D,Flex + IMU,10624,577,216,0,280,-748,-641,-1131,-23045,-6322,-20441
D4:72:11:8B:5A:4D,Flex + IMU,10664,577,217,0,282,-311,-630,-1538,-14320,-7531,-12033
D4:72:11:8B:5A:4D,Flex + IMU,10672,577,217,0,282,-398,-948,-1568,-11783,-5820,-9328
D4:72:11:8B:5A:4D,Flex + IMU,10712,575,218,0,283,-571,-1913,-1092,-27848,2312,-18972
D4:72:11:8B:5A:4D,Flex + IMU,10720,574,218,0,283,-658,-2045,-1075,-32592,3991,-19170
D4:72:11:8B:5A:4D,Flex + IMU,10760,572,219,0,285,-503,-2360,-2348,-32768,14364,-32768
D4:72:11:8B:5A:4D,Flex + IMU,10768,572,220,0,286,-653,-2231,-2634,-32768,18470,-32768
D4:72:11:8B:5A:4D,Flex + IMU,10808,571,223,0,288,-1602,-2376,-1334,-32768,32763,-32768
D4:72:11:8B:5A:4D,Flex + IMU,10816,572,224,0,289,-1399,-2646,-405,-32768,32763,-32768
D4:72:11:8B:5A:4D,Flex + IMU,10856,574,227,0,289,1108,1410,-1182,-32768,28207,-19946
D4:72:11:8B:5A:4D,Flex + IMU,10864,574,228,0,289,269,2239,-920,-32768,17748,-15608
D4:72:11:8B:5A:4D,Flex + IMU,10904,575,228,0,290,-66,-963,452,-32768,14601,-32768
D4:72:11:8B:5A:4D,Flex + IMU,10952,576,229,0,288,1097,1406,-2167,-32768,20043,-26303
D4:72:11:8B:5A:4D,Flex + IMU,10960,576,230,0,289,812,2274,-2430,-32768,14275,-20777
D4:72:11:8B:5A:4D,Flex + IMU,11000,578,232,0,296,-471,4038,-1255,12060,1585,-5833
D4:72:11:8B:5A:4D,Flex + IMU,11008,578,232,0,297,-350,3159,-949,27423,3689,-3256
D4:72:11:8B:5A:4D,Flex + IMU,11048,582,233,0,299,2,1403,-813,32763,7877,1474
D4:72:11:8B:5A:4D,Flex + IMU,11056,582,232,0,298,4,902,-707,32763,7806,1457
D4:72:11:8B:5A:4D,Flex + IMU,11096,585,231,0,298,-273,1902,-669,32763,-8341,-1031
D4:72:11:8B:5A:4D,Flex + IMU,11104,585,231,0,299,-216,2178,-888,32763,-11856,-3498
D4:72:11:8B:5A:4D,Flex + IMU,11152,586,230,0,307,41,-32,-353,32763,-30575,-5087
D4:72:11:8B:5A:4D,Flex + IMU,11160,586,230,0,309,-24,-353,-41,32763,-32665,-2668
D4:72:11:8B:5A:4D,Flex + IMU,11200,585,229,0,312,-68,-411,-604,32763,-32768,14836
D4:72:11:8B:5A:4D,Flex + IMU,11208,584,228,0,312,22,-695,-1049,32763,-32768,18549
D4:72:11:8B:5A:4D,Flex + IMU,11248,578,225,0,311,-1807,-3082,-663,32763,-29929,32255
D4:72:11:8B:5A:4D,Flex + IMU,11256,578,226,0,313,-1725,-2459,-267,32763,-17698,32763
D4:72:11:8B:5A:4D,Flex + IMU,11296,579,228,0,323,-166,-1189,-566,32763,4413,27175
D4:72:11:8B:5A:4D,Flex + IMU,11304,579,229,0,324,-27,-1620,-518,32628,1973,24147
D4:72:11:8B:5A:4D,Flex + IMU,11344,579,234,0,330,-215,-1796,-540,21131,-11080,5307
D4:72:11:8B:5A:4D,Flex + IMU,11352,579,235,0,330,-299,-1869,-716,15111,-13027,5307
