Device Address,Exercise,Timestamp,Thumb,Ring,Middle,Index,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:EB:C9:B6:1F:5A,Flex + IMU,44360,299,301,0,611,388,235,1292,201,-44,85
EA:EB:C9:B6:1F:5A,Flex + IMU,44368,299,301,0,611,383,236,1285,212,-39,88
EA:EB:C9:B6:1F:5A,Flex + IMU,44408,299,301,0,611,386,233,1293,201,-47,83
EA:EB:C9:B6:1F:5A,Flex + IMU,44416,299,301,0,611,380,239,1288,199,-50,80
EA:EB:C9:B6:1F:5A,Flex + IMU,44456,299,301,0,611,380,244,1290,235,28,81
EA:EB:C9:B6:1F:5A,Flex + IMU,44464,299,301,0,611,382,235,1291,241,41,76
EA:EB:C9:B6:1F:5A,Flex + IMU,44504,299,301,0,611,355,167,1341,74,268,133
EA:EB:C9:B6:1F:5A,Flex + IMU,44512,299,301,0,611,331,160,1385,-221,335,120
EA:EB:C9:B6:1F:5A,Flex + IMU,44552,298,300,0,611,228,552,1438,-879,2580,-1578
EA:EB:C9:B6:1F:5A,Flex + IMU,44560,298,300,0,611,211,611,1478,-879,2580,-1578
EA:EB:C9:B6:1F:5A,Flex + IMU,44600,297,301,0,612,123,-163,2261,8057,15187,1303
EA:EB:C9:B6:1F:5A,Flex + IMU,44608,296,301,0,612,195,-392,2399,6983,17031,1463
EA:EB:C9:B6:1F:5A,Flex + IMU,44648,293,299,0,612,562,287,2394,-27210,28173,-590
EA:EB:C9:B6:1F:5A,Flex + IMU,44656,293,299,0,612,752,287,2394,-29455,29249,-255
EA:EB:C9:B6:1F:5A,Flex + IMU,44704,292,298,0,612,2061,964,1464,-11445,10575,6709
EA:EB:C9:B6:1F:5A,Flex + IMU,44712,292,298,0,612,2007,883,1473,-10443,3398,9373
EA:EB:C9:B6:1F:5A,Flex + IMU,44752,292,299,0,612,1280,724,1308,-12100,-14935,19313
EA:EB:C9:B6:1F:5A,Flex + IMU,44760,292,299,0,612,1280,724,1308,-13810,-15053,20422
EA:EB:C9:B6:1F:5A,Flex + IMU,44800,292,299,0,612,912,305,698,-20790,-13799,27850
EA:EB:C9:B6:1F:5A,Flex + IMU,44808,292,299,0,612,789,89,610,-23837,-14178,30370
EA:EB:C9:B6:1F:5A,Flex + IMU,44848,292,299,0,612,127,-147,95,-32768,-17331,32763
EA:EB:C9:B6:1F:5A,Flex + IMU,44856,292,300,0,612,78,-118,-37,-32768,-17592,32763
EA:EB:C9:B6:1F:5A,Flex + IMU,44896,292,301,0,612,-191,134,-189,-32768,-22291,32763
EA:EB:C9:B6:1F:5A,Flex + IMU,44904,292,302,0,612,-280,104,-131,-32768,-22692,32763
EA:EB:C9:B6:1F:5A,Flex + IMU,44944,293,304,0,613,-196,-50,-381,-32768,-26538,24549
EA:EB:C9:B6:1F:5A,Flex + IMU,44952,293,304,0,613,-209,151,-537,-32768,-26983,22074
EA:EB:C9:B6:1F:5A,Flex + IMU,44992,295,307,0,613,-252,-64,-993,-32768,-26607,10810
EA:EB:C9:B6:1F:5A,Flex + IMU,45000,295,307,0,613,-235,8,-1244,-32768,-26317,6969
EA:EB:C9:B6:1F:5A,Flex + IMU,45040,298,308,0,614,98,926,-1200,-15178,-15753,-4954
EA:EB:C9:B6:1F:5A,Flex + IMU,45048,298,308,0,614,166,905,-1144,-10619,-14982,-5251
EA:EB:C9:B6:1F:5A,Flex + IMU,45088,301,309,0,614,-172,446,-1170,-9353,-13282,2599
EA:EB:C9:B6:1F:5A,Flex + IMU,45096,302,309,0,615,-217,548,-1281,-10722,-13125,2599
EA:EB:C9:B6:1F:5A,Flex + IMU,45136,303,310,0,615,-100,437,-1209,-6787,-9572,651
EA:EB:C9:B6:1F:5A,Flex + IMU,45144,304,310,0,615,-115,425,-1249,-7160,-10271,888
EA:EB:C9:B6:1F:5A,Flex + IMU,45192,305,311,0,615,-30,400,-1630,-7305,-9215,2365
EA:EB:C9:B6:1F:5A,Flex + IMU,45200,305,311,0,615,-73,374,-1665,-6175,-8305,2448
EA:EB:C9:B6:1F:5A,Flex + IMU,45240,306,312,0,615,-193,235,-1822,-2012,-210,1808
EA:EB:C9:B6:1F:5A,Flex + IMU,45248,307,312,0,615,-189,254,-1846,-1726,1690,1735
EA:EB:C9:B6:1F:5A,Flex + IMU,45288,307,312,0,615,-125,277,-1670,-251,4597,2059
EA:EB:C9:B6:1F:5A,Flex + IMU,45296,308,312,0,615,-128,341,-1704,-251,4341,1994
EA:EB:C9:B6:1F:5A,Flex + IMU,45336,308,313,0,615,-130,620,-1912,6090,4039,2652
EA:EB:C9:B6:1F:5A,Flex + IMU,45344,309,313,0,615,-109,716,-1965,9552,4385,3194
EA:EB:C9:B6:1F:5A,Flex + IMU,45384,309,313,0,615,-56,909,-1712,32349,9727,7757
EA:EB:C9:B6:1F:5A,Flex + IMU,45392,309,313,0,615,-56,909,-1788,32763,10008,7930
EA:EB:C9:B6:1F:5A,Flex + IMU,45432,307,313,0,616,61,1469,-1772,32763,-3007,8971
EA:EB:C9:B6:1F:5A,Flex + IMU,45440,307,313,0,616,-15,1339,-1691,32763,-7263,9189
EA:EB:C9:B6:1F:5A,Flex + IMU,45480,307,313,0,616,-213,1076,-1230,32763,5348,22744
EA:EB:C9:B6:1F:5A,Flex + IMU,45488,307,313,0,616,-196,1416,-1121,32763,8758,22823
EA:EB:C9:B6:1F:5A,Flex + IMU,45528,306,313,0,616,-272,-24,-790,32763,1435,18419
EA:EB:C9:B6:1F:5A,Flex + IMU,45536,306,313,0,616,-502,3,-587,32763,3071,19355
EA:EB:C9:B6:1F:5A,Flex + IMU,45576,302,313,0,616,-271,-353,232,32763,21373,8505
EA:EB:C9:B6:1F:5A,Flex + IMU,45584,301,313,0,616,-77,-366,64,32763,20007,3867
EA:EB:C9:B6:1F:5A,Flex + IMU,45624,302,313,0,616,-535,-1343,1436,32763,16058,2514
EA:EB:C9:B6:1F:5A,Flex + IMU,45632,302,313,0,616,-706,-872,1384,32505,16877,3519
EA:EB:C9:B6:1F:5A,Flex + IMU,45672,300,314,0,616,471,-1099,898,18155,24190,6627
EA:EB:C9:B6:1F:5A,Flex + IMU,45680,300,314,0,616,334,-1511,1293,15588,16963,4285
EA:EB:C9:B6:1F:5A,Flex + IMU,45728,302,314,0,616,44,97,954,3480,5243,-998
EA:EB:C9:B6:1F:5A,Flex + IMU,45736,303,314,0,616,58,-384,1074,10600,4858,-192
EA:EB:C9:B6:1F:5A,Flex + IMU,45776,303,314,0,616,134,-1265,1602,-9548,-367,4694
EA:EB:C9:B6:1F:5A,Flex + IMU,45784,303,314,0,616,211,-910,1484,-15541,-1013,4706
EA:EB:C9:B6:1F:5A,Flex + IMU,45824,304,315,0,616,101,-273,1310,-4680,-2403,1762
EA:EB:C9:B6:1F:5A,Flex + IMU,45832,304,315,0,616,27,-624,1442,-951,-2403,1762
EA:EB:C9:B6:1F:5A,Flex + IMU,45872,306,315,0,616,43,-776,1518,-16783,-217,5238
EA:EB:C9:B6:1F:5A,Flex + IMU,45880,306,315,0,616,41,-492,1416,-19685,224,5635
EA:EB:C9:B6:1F:5A,Flex + IMU,45920,307,315,0,616,94,-207,1335,-2687,-2756,1182
EA:EB:C9:B6:1F:5A,Flex + IMU,45928,308,315,0,616,90,-207,1335,-1265,-3013,695
EA:EB:C9:B6:1F:5A,Flex + IMU,45968,308,315,0,616,227,-635,1565,-5365,-5524,3037
EA:EB:C9:B6:1F:5A,Flex + IMU,45976,309,315,0,616,235,-664,1587,-8358,-6930,4229
EA:EB:C9:B6:1F:5A,Flex + IMU,46016,310,315,0,616,23,-355,1404,-17000,-14209,7459
EA:EB:C9:B6:1F:5A,Flex + IMU,46024,310,315,0,616,-65,-352,1367,-17871,-15651,7516
EA:EB:C9:B6:1F:5A,Flex + IMU,46064,309,315,0,616,-278,-688,1319,-28741,-19566,6706
EA:EB:C9:B6:1F:5A,Flex + IMU,46072,309,315,0,616,-346,-621,1182,-32421,-19626,6543
EA:EB:C9:B6:1F:5A,Flex + IMU,46112,307,315,0,615,-459,153,486,-32768,-17144,281
EA:EB:C9:B6:1F:5A,Flex + IMU,46160,303,315,0,615,-373,-159,326,-32768,-15476,-7122
